operation,_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,ts,unit,value,filename,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
NEW,b7c11bb3-0eff-488b-aa37-bde57a8c43c6,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000564,uri_user,8/5/13 8:07,C,25,alfashir1_B12.csv,,,,,,
NEW,0325dc73-fe57-4977-9a1f-7ec05f59c3a4,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000564,uri_user,8/5/13 8:14,C,25,alfashir1_B12.csv,,,,,,
NEW,1c8182b2-6f3e-4ac9-a813-19607f36ad8a,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000564,uri_user,8/5/13 8:22,C,25,alfashir1_B12.csv,,,,,,
NEW,495dd39e-17cd-43a3-a157-e5797486caa7,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000564,uri_user,8/5/13 8:29,C,25,alfashir1_B12.csv,,,,,,
NEW,991daca0-6f4b-4723-a5d0-6724e3d262c3,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000565,uri_user,8/5/13 8:36,C,24.5,alfashir1_B12.csv,,,,,,
NEW,ea103711-3126-44c5-bbbd-b9062d0bf3c7,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000565,uri_user,8/5/13 8:44,C,24.5,alfashir1_B12.csv,,,,,,
NEW,c919fadd-69fd-4085-b435-0ab8f6a33d2f,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000565,uri_user,8/5/13 8:51,C,24.5,alfashir1_B12.csv,,,,,,
NEW,52f9bba7-7360-43c4-bbc1-0eb47560913a,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000565,uri_user,8/5/13 8:58,C,24.5,alfashir1_B12.csv,,,,,,
NEW,a9ff20fd-d448-4b7b-a200-fdd7dbb8859d,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000565,uri_user,8/5/13 9:06,C,24.5,alfashir1_B12.csv,,,,,,
NEW,b73347c6-bc8e-4ac6-816b-aac66fa6d06f,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000566,uri_user,8/5/13 9:13,C,24.5,alfashir1_B12.csv,,,,,,
NEW,f1d41c33-6f7c-410c-802f-7d6eec1d8069,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000566,uri_user,8/5/13 9:21,C,24.5,alfashir1_B12.csv,,,,,,
NEW,cda3cc99-5f24-4221-9116-67e440e1af48,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000566,uri_user,8/5/13 9:28,C,24,alfashir1_B12.csv,,,,,,
NEW,f551c507-9d8c-46a4-b9c9-c84e51c530ab,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000566,uri_user,8/5/13 9:35,C,24,alfashir1_B12.csv,,,,,,
NEW,53d33bab-5359-4d45-aebe-c2e2cd6dabf5,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000566,uri_user,8/5/13 9:43,C,24.5,alfashir1_B12.csv,,,,,,
