operation,_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,Date_and_Time,Description,Image_contentType,Image_uriFragment,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
new,1f9e6f19-c50a-4436-9328-1d70cdb73493,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:18.945000000,anonymous,2012-11-30T15:06:00.000000000,Greenwood,image/jpg,Ctrl + Click to view,,,47.68999464,-122.3554331,FULL,,,,uuid:f3979f61-1cf3-48ed-8030-6ac6d833450d,
new,3ccc728d-52a4-44be-bb1a-5d8e903536d1,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:46.621000000,anonymous,2012-11-30T15:07:00.000000000,Fremont Bridge,image/jpg,Ctrl + Click to view,,,47.64888655,-122.3515668,FULL,,,,uuid:61717477-1568-487c-b9ce-df80528be7c7,
new,4acac34a-5be6-44da-bf3c-ea0b4f6cee29,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:11.614000000,anonymous,2012-11-30T15:06:00.000000000,The Ave,image/jpg,Ctrl + Click to view,,,47.65824883,-122.3131459,FULL,,,,uuid:64bace1f-44d9-46b2-b305-12f48f14c524,
new,4f45da6e-2084-4c75-900f-f777d7619324,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:22.396000000,anonymous,2012-11-30T15:04:00.000000000,HUB construction,image/jpg,Ctrl + Click to view,,,47.65434975,-122.3049898,FULL,,,,uuid:7cc02ef5-d47c-4d3b-91e6-f99934d97303,
new,59de1133-5d85-4e8e-83cd-962937031aba,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:48.795000000,anonymous,2012-11-30T15:05:00.000000000,Home,image/jpg,Ctrl + Click to view,,,47.64634424,-122.3364495,FULL,,,,uuid:883d77f4-69a7-4789-8de7-54c06e18592c,
new,5bbfc8c0-a595-43cf-99e4-35f4c280e031,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:43.791000000,anonymous,2012-11-30T15:04:00.000000000,Docks at WAC,image/jpg,Ctrl + Click to view,,,47.64834739,-122.2998985,FULL,,,,uuid:43561015-f987-47df-b01d-2f98bc54a53b,
new,6ff26ab9-7c7f-47c6-a088-5ce975b1b878,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:35.326000000,anonymous,2012-11-30T15:06:00.000000000,Ravenna Park,image/jpg,Ctrl + Click to view,,,47.66945725,-122.3036042,FULL,,,,uuid:75414f31-7ce9-4133-b9e9-5a7ffc44f24b,
new,822406fd-cd06-41c6-9a2d-9da056f91438,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:24.930000000,anonymous,2012-11-30T15:07:00.000000000,Upper Fremont,image/jpg,Ctrl + Click to view,,,47.6611747,-122.3501364,FULL,,,,uuid:bdbb94ce-840f-488f-b6c7-a893b7eff436,
new,86034682-580e-42c2-ad62-f354f8ff7e63,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:31.609000000,anonymous,2012-11-30T15:06:00.000000000,Greenlake,image/jpg,Ctrl + Click to view,,,47.68088862,-122.3291259,FULL,,,,uuid:401f061a-4543-47e3-976a-19e3a501ddd6,
new,8c05b82a-f931-4de6-8227-e39c9ee004a3,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:37.928000000,anonymous,2012-11-30T15:05:00.000000000,Foot of Latona,image/jpg,Ctrl + Click to view,,,47.65335942,-122.3255423,FULL,,,,uuid:9cd0ccfb-9e17-4794-99bb-e1a133f23606,
new,a29165ec-9420-43b8-9b74-57ead2aad7aa,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:40.539000000,anonymous,2012-11-30T15:05:00.000000000,Chandler's Cove,image/jpg,Ctrl + Click to view,,,47.62708792,-122.3327497,FULL,,,,uuid:1a08f751-f1dd-40ea-a67e-83b4bc345438,
new,b42608c3-9d9a-4cc0-a75e-fb9a9fa1cb44,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:27.763000000,anonymous,2012-11-30T15:07:00.000000000,Phinney Ridge,image/jpg,Ctrl + Click to view,,,47.66801164,-122.3553749,FULL,,,,uuid:f12f20a4-4f03-48d1-babd-018dd6b40f48,
new,c348df6b-f14d-429a-b921-778269bb7f74,tablesId_geotagger,default,COMPLETE,2014-05-05T22:25:14.688000000,anonymous,2012-11-30T15:05:00.000000000,!Kite hill... Gasworks,image/jpg,Ctrl + Click to view,,,47.64540379,-122.3363659,FULL,,,,uuid:eee2b3c7-405c-4863-9978-bc271758c23d,
new,uuid:9551714f-66fa-4f85-ac02-1cbe3a66a61a,geotagger,en_US,COMPLETE,2016-12-13T22:42:58.308000000,anonymous,2016-12-13T22:42:00.000000000,end,image/jpg,Ctrl + Click to view,,,,,FULL,,,,uuid:28f09845-3b1b-4b23-a8c2-a09f383821fc,anonymous
